Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2013,9,201309,Melbourne,Perth,Melbourne - Perth,364.9,496.8253846
2013,9,201309,Melbourne,Sydney,Melbourne - Sydney,119.9,163.2484615
2013,9,201309,Melbourne,Newcastle,Melbourne - Newcastle,170.0,231.4615385
2013,10,201310,Melbourne,Gold Coast,Melbourne - Gold Coast,244.9,330.8954198
2013,10,201310,Melbourne,Mildura,Melbourne - Mildura,236.0,318.870229
2013,10,201310,Melbourne,Perth,Melbourne - Perth,244.9,330.8954198
2013,10,201310,Melbourne,Sydney,Melbourne - Sydney,88.0,118.9007634
2013,10,201310,Melbourne,Newcastle,Melbourne - Newcastle,164.0,221.5877863
2013,11,201311,Melbourne,Gold Coast,Melbourne - Gold Coast,149.9,202.5366412
2013,11,201311,Melbourne,Mildura,Melbourne - Mildura,202.0,272.9312977
2013,11,201311,Melbourne,Perth,Melbourne - Perth,304.9,411.9641221
2013,11,201311,Melbourne,Sydney,Melbourne - Sydney,109.9,148.4908397
2013,11,201311,Melbourne,Newcastle,Melbourne - Newcastle,170.0,229.6946565
2013,12,201312,Melbourne,Gold Coast,Melbourne - Gold Coast,299.9,405.2083969
2013,12,201312,Melbourne,Mildura,Melbourne - Mildura,210.01,283.7539695
2013,12,201312,Melbourne,Perth,Melbourne - Perth,488.0,659.3587786
2013,12,201312,Melbourne,Sydney,Melbourne - Sydney,204.9,276.8496183
2013,12,201312,Melbourne,Newcastle,Melbourne - Newcastle,190.0,256.7175573
2014,1,201401,Melbourne,Gold Coast,Melbourne - Gold Coast,132.9,178.5449715
2014,1,201401,Melbourne,Mildura,Melbourne - Mildura,210.01,282.1386717
2014,1,201401,Melbourne,Perth,Melbourne - Perth,274.9,369.31537
2014,1,201401,Melbourne,Sydney,Melbourne - Sydney,90.51,121.5959772
2014,1,201401,Melbourne,Newcastle,Melbourne - Newcastle,160.0,214.9525617
2014,2,201402,Melbourne,Gold Coast,Melbourne - Gold Coast,160.9,216.1616698
2014,2,201402,Melbourne,Mildura,Melbourne - Mildura,210.01,282.1386717
2014,2,201402,Melbourne,Perth,Melbourne - Perth,339.9,456.6398482
2014,2,201402,Melbourne,Sydney,Melbourne - Sydney,120.9,162.4235294
2014,2,201402,Melbourne,Newcastle,Melbourne - Newcastle,180.0,241.8216319
2014,3,201403,Melbourne,Gold Coast,Melbourne - Gold Coast,165.9,222.8789374
2014,3,201403,Melbourne,Mildura,Melbourne - Mildura,230.0,308.9943074
2014,3,201403,Melbourne,Perth,Melbourne - Perth,287.9,386.7802657
2014,3,201403,Melbourne,Sydney,Melbourne - Sydney,115.9,155.7062619
2014,3,201403,Melbourne,Newcastle,Melbourne - Newcastle,200.0,268.6907021
2014,4,201404,Melbourne,Gold Coast,Melbourne - Gold Coast,152.9,204.4441926
2014,4,201404,Melbourne,Mildura,Melbourne - Mildura,235.31,314.6354674
2014,4,201404,Melbourne,Perth,Melbourne - Perth,288.9,386.2912181
2014,4,201404,Melbourne,Sydney,Melbourne - Sydney,104.9,140.2628895
2014,4,201404,Melbourne,Newcastle,Melbourne - Newcastle,210.0,280.7932011
2014,5,201405,Melbourne,Gold Coast,Melbourne - Gold Coast,147.9,197.7586402
2014,5,201405,Melbourne,Mildura,Melbourne - Mildura,250.0,334.2776204
2014,5,201405,Melbourne,Perth,Melbourne - Perth,253.9,339.4923513
2014,5,201405,Melbourne,Sydney,Melbourne - Sydney,91.9,122.8804533
2014,5,201405,Melbourne,Newcastle,Melbourne - Newcastle,118.0,157.7790368
2014,6,201406,Melbourne,Gold Coast,Melbourne - Gold Coast,165.9,221.8266289
2014,6,201406,Melbourne,Mildura,Melbourne - Mildura,250.0,334.2776204
2014,6,201406,Melbourne,Perth,Melbourne - Perth,295.9,395.6509915
2014,6,201406,Melbourne,Sydney,Melbourne - Sydney,108.9,145.6113314
2014,6,201406,Melbourne,Newcastle,Melbourne - Newcastle,150.0,200.5665722
2014,7,201407,Melbourne,Gold Coast,Melbourne - Gold Coast,140.0,186.3157895
2014,7,201407,Melbourne,Mildura,Melbourne - Mildura,255.11,339.5072932
2014,7,201407,Melbourne,Perth,Melbourne - Perth,318.0,423.2030075
2014,7,201407,Melbourne,Sydney,Melbourne - Sydney,94.0,125.0977444
2014,7,201407,Melbourne,Newcastle,Melbourne - Newcastle,160.0,212.9323308
2014,8,201408,Melbourne,Gold Coast,Melbourne - Gold Coast,150.0,199.6240602
2014,8,201408,Melbourne,Mildura,Melbourne - Mildura,250.0,332.7067669
2014,8,201408,Melbourne,Perth,Melbourne - Perth,348.0,463.1278195
2014,8,201408,Melbourne,Sydney,Melbourne - Sydney,98.0,130.4210526
2014,8,201408,Melbourne,Newcastle,Melbourne - Newcastle,160.0,212.9323308
2014,9,201409,Melbourne,Gold Coast,Melbourne - Gold Coast,180.0,239.5488722
2014,9,201409,Melbourne,Mildura,Melbourne - Mildura,250.0,332.7067669
2014,9,201409,Melbourne,Perth,Melbourne - Perth,298.0,396.5864662
2014,9,201409,Melbourne,Sydney,Melbourne - Sydney,98.0,130.4210526
2014,9,201409,Melbourne,Newcastle,Melbourne - Newcastle,150.0,199.6240602
2014,10,201410,Melbourne,Gold Coast,Melbourne - Gold Coast,224.0,297.5459662
2014,10,201410,Melbourne,Mildura,Melbourne - Mildura,238.0,316.1425891
2014,10,201410,Melbourne,Perth,Melbourne - Perth,338.0,448.9756098
2014,10,201410,Melbourne,Sydney,Melbourne - Sydney,90.0,119.5497186
2014,10,201410,Melbourne,Newcastle,Melbourne - Newcastle,140.0,185.9662289
2014,11,201411,Melbourne,Gold Coast,Melbourne - Gold Coast,284.0,377.2457786
2014,11,201411,Melbourne,Mildura,Melbourne - Mildura,238.0,316.1425891
2014,11,201411,Melbourne,Perth,Melbourne - Perth,298.0,395.8424015
2014,11,201411,Melbourne,Sydney,Melbourne - Sydney,120.0,159.3996248
2014,11,201411,Melbourne,Newcastle,Melbourne - Newcastle,154.0,204.5628518
2014,12,201412,Melbourne,Gold Coast,Melbourne - Gold Coast,260.0,345.3658537
2014,12,201412,Melbourne,Mildura,Melbourne - Mildura,238.0,316.1425891
2014,12,201412,Melbourne,Perth,Melbourne - Perth,394.0,523.3621013
2014,12,201412,Melbourne,Sydney,Melbourne - Sydney,160.0,212.532833
2014,12,201412,Melbourne,Newcastle,Melbourne - Newcastle,178.0,236.4427767
2015,1,201501,Melbourne,Gold Coast,Melbourne - Gold Coast,160.0,212.1348315
2015,1,201501,Melbourne,Mildura,Melbourne - Mildura,238.0,315.5505618
2015,1,201501,Melbourne,Perth,Melbourne - Perth,334.0,442.8314607
2015,1,201501,Melbourne,Sydney,Melbourne - Sydney,118.0,156.4494382
2015,1,201501,Melbourne,Newcastle,Melbourne - Newcastle,154.0,204.1797753
2015,2,201502,Melbourne,Gold Coast,Melbourne - Gold Coast,180.0,238.6516854
2015,2,201502,Melbourne,Mildura,Melbourne - Mildura,238.0,315.5505618
2015,2,201502,Melbourne,Perth,Melbourne - Perth,378.0,501.1685393
2015,2,201502,Melbourne,Sydney,Melbourne - Sydney,148.0,196.2247191
2015,2,201502,Melbourne,Newcastle,Melbourne - Newcastle,184.0,243.9550562
2015,3,201503,Melbourne,Gold Coast,Melbourne - Gold Coast,248.0,328.8089888
2015,3,201503,Melbourne,Mildura,Melbourne - Mildura,255.93,339.3229213
2015,3,201503,Melbourne,Perth,Melbourne - Perth,338.0,448.1348315
2015,3,201503,Melbourne,Sydney,Melbourne - Sydney,128.0,169.7078652
2015,3,201503,Melbourne,Newcastle,Melbourne - Newcastle,164.0,217.4382022
2015,4,201504,Melbourne,Gold Coast,Melbourne - Gold Coast,158.0,208.1190698
2015,4,201504,Melbourne,Mildura,Melbourne - Mildura,234.0,308.2269767
2015,4,201504,Melbourne,Perth,Melbourne - Perth,258.0,339.84
2015,4,201504,Melbourne,Sydney,Melbourne - Sydney,118.0,155.4306977
2015,4,201504,Melbourne,Newcastle,Melbourne - Newcastle,118.0,155.4306977
2015,5,201505,Melbourne,Gold Coast,Melbourne - Gold Coast,150.0,197.5813953
2015,5,201505,Melbourne,Mildura,Melbourne - Mildura,250.0,329.3023256
2015,5,201505,Melbourne,Perth,Melbourne - Perth,294.0,387.2595349
2015,5,201505,Melbourne,Sydney,Melbourne - Sydney,98.0,129.0865116
2015,5,201505,Melbourne,Newcastle,Melbourne - Newcastle,154.0,202.8502326
2015,6,201506,Melbourne,Gold Coast,Melbourne - Gold Coast,220.0,289.7860465
2015,6,201506,Melbourne,Mildura,Melbourne - Mildura,250.0,329.3023256
2015,6,201506,Melbourne,Perth,Melbourne - Perth,310.0,408.3348837
2015,6,201506,Melbourne,Sydney,Melbourne - Sydney,118.0,155.4306977
2015,6,201506,Melbourne,Newcastle,Melbourne - Newcastle,154.0,202.8502326
2015,7,201507,Melbourne,Gold Coast,Melbourne - Gold Coast,164.0,215.0222222
2015,7,201507,Melbourne,Mildura,Melbourne - Mildura,250.0,327.7777778
2015,7,201507,Melbourne,Perth,Melbourne - Perth,320.0,419.5555556
2015,7,201507,Melbourne,Sydney,Melbourne - Sydney,118.0,154.7111111
2015,7,201507,Melbourne,Newcastle,Melbourne - Newcastle,154.0,201.9111111
2015,8,201508,Melbourne,Gold Coast,Melbourne - Gold Coast,188.0,246.4888889
2015,8,201508,Melbourne,Mildura,Melbourne - Mildura,250.0,327.7777778
2015,8,201508,Melbourne,Perth,Melbourne - Perth,334.0,437.9111111
2015,8,201508,Melbourne,Sydney,Melbourne - Sydney,150.0,196.6666667
2015,8,201508,Melbourne,Newcastle,Melbourne - Newcastle,138.0,180.9333333
